,gpt-3.5-turbo - context,gpt-4 - context,gpt-4 - input,program,bug-type
40,"(3, 146)","(0, 146)","(0, 146)",L-whereami,SDLA
41,"(23, 29)","(2, 29)","(2, 29)",A-cross,SISA
42,"(14, 73)","(72, 73)","(0, 73)",C-fairdivision,SISA
43,"(15, 21)","(0, 21)","(15, 21)",F-islands,SISA
44,"(27, 79)","(27, 79)","(25, 79)",H-prehistoricprograms,SISA
45,"(0, 67)","(0, 67)","(0, 67)",J-splitstream,SISA
46,,"(0, 46)","(21, 46)",K-meme,SISA
47,"(1, 146)","(0, 146)","(0, 146)",L-whereami,SISA
48,"(0, 29)","(0, 29)","(0, 29)",A-cross,SDFN
49,"(57, 73)","(0, 73)","(56, 73)",C-fairdivision,SDFN
50,"(3, 21)","(3, 21)","(3, 21)",F-islands,SDFN
51,"(0, 79)","(0, 79)","(16, 79)",H-prehistoricprograms,SDFN
52,"(0, 67)","(0, 67)","(0, 67)",J-splitstream,SDFN
53,,"(0, 46)","(0, 46)",K-meme,SDFN
54,"(0, 146)","(0, 146)","(0, 146)",L-whereami,SDFN
55,"(0, 29)","(2, 29)","(0, 29)",A-cross,SISF
56,"(0, 73)","(70, 73)","(70, 73)",C-fairdivision,SISF
57,"(15, 21)","(0, 21)","(0, 21)",F-islands,SISF
58,"(12, 79)","(0, 79)","(11, 79)",H-prehistoricprograms,SISF
59,"(0, 67)","(0, 67)","(0, 67)",J-splitstream,SISF
60,,"(4, 46)","(28, 46)",K-meme,SISF
61,"(1, 146)","(32, 146)","(32, 146)",L-whereami,SISF
62,"(14, 29)","(2, 29)","(0, 29)",A-cross,SMOV
63,"(71, 73)","(67, 73)","(70, 73)",C-fairdivision,SMOV
64,"(8, 21)","(8, 21)","(0, 21)",F-islands,SMOV
65,"(27, 79)","(2, 79)","(25, 79)",H-prehistoricprograms,SMOV
66,"(0, 72)","(0, 67)",,J-splitstream,SMOV
67,"(28, 46)","(0, 46)","(28, 46)",K-meme,SMOV
68,"(0, 146)","(0, 146)","(0, 146)",L-whereami,SMOV
69,"(0, 29)","(0, 29)","(0, 29)",A-cross,SMVB
70,"(71, 73)","(70, 73)","(22, 73)",C-fairdivision,SMVB
71,"(15, 21)","(0, 21)","(0, 21)",F-islands,SMVB
72,"(15, 79)","(15, 79)","(13, 79)",H-prehistoricprograms,SMVB
73,"(0, 72)","(0, 67)","(0, 67)",J-splitstream,SMVB
74,"(20, 46)","(20, 46)","(20, 46)",K-meme,SMVB
75,"(13, 146)","(13, 146)","(0, 146)",L-whereami,SMVB
76,"(18, 29)","(0, 29)","(0, 29)",A-cross,ORRN
77,"(15, 73)","(3, 73)","(0, 73)",C-fairdivision,ORRN
78,"(9, 21)","(0, 21)","(0, 21)",F-islands,ORRN
79,"(23, 79)","(23, 79)","(26, 79)",H-prehistoricprograms,ORRN
80,"(0, 72)","(12, 67)","(12, 67)",J-splitstream,ORRN
81,"(24, 46)","(19, 46)","(24, 46)",K-meme,ORRN
82,"(1, 146)","(1, 146)","(5, 146)",L-whereami,ORRN
83,"(4, 29)","(0, 29)","(0, 29)",A-cross,OLLN
84,"(6, 73)","(58, 73)","(35, 73)",C-fairdivision,OLLN
85,"(4, 21)","(0, 21)","(0, 21)",F-islands,OLLN
86,"(0, 79)","(27, 79)","(13, 79)",H-prehistoricprograms,OLLN
87,,"(67, 67)",,J-splitstream,OLLN
88,"(0, 46)","(28, 46)","(0, 46)",K-meme,OLLN
89,"(1, 146)","(1, 146)","(0, 146)",L-whereami,OLLN
90,"(1, 29)","(0, 29)","(0, 29)",A-cross,OILN
91,"(71, 73)","(14, 73)","(70, 73)",C-fairdivision,OILN
92,"(0, 21)","(15, 21)","(15, 21)",F-islands,OILN
93,"(23, 79)","(18, 79)","(9, 79)",H-prehistoricprograms,OILN
94,"(0, 67)","(0, 67)","(18, 67)",J-splitstream,OILN
95,"(12, 46)","(12, 46)","(12, 46)",K-meme,OILN
96,,,"(0, 146)",L-whereami,OILN
97,"(24, 29)","(0, 29)","(10, 29)",A-cross,OEDE
98,"(71, 73)","(70, 73)","(0, 73)",C-fairdivision,OEDE
99,"(15, 21)","(15, 21)","(15, 21)",F-islands,OEDE
100,"(27, 79)","(27, 79)","(22, 79)",H-prehistoricprograms,OEDE
101,"(0, 67)","(67, 67)","(67, 67)",J-splitstream,OEDE
102,"(28, 46)","(28, 46)","(28, 46)",K-meme,OEDE
103,"(146, 146)","(146, 146)","(146, 146)",L-whereami,OEDE
104,"(0, 29)","(0, 29)","(0, 29)",A-cross,OICD
105,"(69, 73)","(0, 73)","(56, 73)",C-fairdivision,OICD
106,"(15, 21)","(3, 21)","(0, 21)",F-islands,OICD
107,"(29, 79)","(18, 79)","(22, 79)",H-prehistoricprograms,OICD
108,"(0, 67)",,"(7, 67)",J-splitstream,OICD
109,"(7, 46)","(0, 46)","(7, 46)",K-meme,OICD
110,"(125, 146)","(125, 146)","(0, 146)",L-whereami,OICD
111,"(9, 29)","(2, 29)","(0, 29)",A-cross,OAAN
112,"(13, 73)","(2, 73)","(17, 73)",C-fairdivision,OAAN
113,"(0, 21)","(15, 21)","(0, 21)",F-islands,OAAN
114,"(0, 79)","(29, 79)","(17, 79)",H-prehistoricprograms,OAAN
115,"(0, 67)","(0, 67)","(22, 67)",J-splitstream,OAAN
116,"(28, 46)","(13, 46)","(3, 46)",K-meme,OAAN
117,"(36, 146)","(36, 146)","(0, 146)",L-whereami,OAAN
118,"(2, 29)","(0, 29)","(0, 29)",A-cross,OAIS
119,"(69, 73)","(0, 73)","(13, 73)",C-fairdivision,OAIS
120,"(3, 21)","(0, 21)","(0, 21)",F-islands,OAIS
121,"(0, 79)","(27, 79)","(0, 79)",H-prehistoricprograms,OAIS
122,"(0, 67)","(0, 67)","(0, 67)",J-splitstream,OAIS
123,"(4, 46)","(4, 46)","(4, 46)",K-meme,OAIS
124,"(0, 146)","(0, 146)","(0, 146)",L-whereami,OAIS
125,"(1, 29)","(2, 29)","(2, 29)",A-cross,OAID
126,"(13, 73)","(8, 73)","(22, 73)",C-fairdivision,OAID
127,"(0, 21)","(15, 21)","(4, 21)",F-islands,OAID
128,"(22, 79)","(0, 79)","(0, 79)",H-prehistoricprograms,OAID
129,"(0, 67)","(0, 67)","(0, 67)",J-splitstream,OAID
130,"(0, 46)","(28, 46)","(0, 46)",K-meme,OAID
131,"(3, 146)","(3, 146)","(0, 146)",L-whereami,OAID
132,"(23, 29)","(2, 29)","(8, 29)",A-cross,OMOP
133,"(21, 73)","(21, 73)","(0, 73)",C-fairdivision,OMOP
134,"(15, 21)","(0, 21)","(15, 21)",F-islands,OMOP
135,"(27, 79)","(28, 79)","(29, 79)",H-prehistoricprograms,OMOP
136,"(0, 67)","(0, 67)","(67, 67)",J-splitstream,OMOP
137,"(28, 46)","(28, 46)","(28, 46)",K-meme,OMOP
138,"(146, 146)","(146, 146)","(0, 146)",L-whereami,OMOP
139,"(0, 29)","(0, 29)","(0, 29)",A-cross,OFFN
140,"(71, 73)","(14, 73)","(5, 73)",C-fairdivision,OFFN
141,"(12, 21)","(0, 21)","(0, 21)",F-islands,OFFN
142,"(27, 79)","(0, 79)","(19, 79)",H-prehistoricprograms,OFFN
143,"(0, 67)","(0, 67)","(0, 67)",J-splitstream,OFFN
144,"(28, 46)","(0, 46)","(0, 46)",K-meme,OFFN
145,"(0, 146)","(146, 146)","(0, 146)",L-whereami,OFFN
146,"(0, 29)","(0, 29)","(0, 29)",A-cross,OFPF
147,"(71, 73)","(0, 73)","(21, 73)",C-fairdivision,OFPF
148,"(3, 21)","(3, 21)","(0, 21)",F-islands,OFPF
149,"(15, 79)","(24, 79)","(17, 79)",H-prehistoricprograms,OFPF
150,"(0, 67)","(67, 67)","(67, 67)",J-splitstream,OFPF
151,"(0, 46)","(0, 46)","(0, 46)",K-meme,OFPF
152,"(0, 146)","(0, 146)","(0, 146)",L-whereami,OFPF
153,"(0, 29)","(0, 29)","(0, 29)",A-cross,OFPO
154,"(14, 73)","(14, 73)","(14, 73)",C-fairdivision,OFPO
155,"(4, 21)","(0, 21)","(0, 21)",F-islands,OFPO
156,"(0, 67)","(0, 67)","(2, 67)",J-splitstream,OFPO
157,"(27, 46)","(12, 46)","(27, 46)",K-meme,OFPO
158,"(146, 146)","(146, 146)","(146, 146)",L-whereami,OFPO
159,"(0, 29)","(23, 29)","(0, 29)",A-cross,OITC
160,"(0, 73)","(0, 73)","(0, 73)",C-fairdivision,OITC
161,"(15, 21)","(15, 21)","(15, 21)",F-islands,OITC
162,"(0, 79)","(27, 79)","(21, 79)",H-prehistoricprograms,OITC
163,"(0, 67)","(67, 67)","(67, 67)",J-splitstream,OITC
164,"(4, 46)","(5, 46)","(6, 46)",K-meme,OICT
165,"(146, 146)","(146, 146)","(1, 146)",L-whereami,OICT
166,"(23, 29)","(0, 29)","(0, 29)",A-cross,DRVA
167,"(13, 73)","(13, 73)","(13, 73)",C-fairdivision,DRVA
168,"(15, 21)","(0, 21)","(15, 21)",F-islands,DRVA
169,"(27, 79)","(26, 79)","(24, 79)",H-prehistoricprograms,DRVA
170,"(0, 67)","(0, 67)","(0, 67)",J-splitstream,DRVA
171,"(28, 46)","(7, 46)","(0, 46)",K-meme,DRVA
172,"(17, 146)","(0, 146)","(0, 146)",L-whereami,DRVA
173,"(0, 29)","(0, 29)","(0, 29)",A-cross,DRWV
174,"(13, 73)","(15, 73)","(21, 73)",C-fairdivision,DRWV
175,"(15, 21)","(0, 21)","(0, 21)",F-islands,DRWV
176,"(27, 79)","(27, 79)","(0, 79)",H-prehistoricprograms,DRWV
177,"(0, 67)","(12, 67)","(0, 67)",J-splitstream,DRWV
178,"(28, 46)","(1, 46)","(4, 46)",K-meme,DRWV
179,"(9, 146)","(146, 146)","(9, 146)",L-whereami,DRWV
180,"(4, 29)","(2, 29)","(0, 29)",A-cross,DMAA
181,"(0, 73)","(0, 73)","(0, 73)",C-fairdivision,DMAA
182,"(15, 21)","(0, 21)","(0, 21)",F-islands,DMAA
183,"(16, 79)","(27, 79)","(27, 79)",H-prehistoricprograms,DMAA
184,"(0, 67)",,"(0, 67)",J-splitstream,DMAA
185,"(0, 46)","(28, 46)","(7, 46)",K-meme,DMAA
186,"(2, 146)","(2, 146)","(0, 146)",L-whereami,DMAA
187,"(23, 29)","(0, 29)","(23, 29)",A-cross,DRAC
188,"(71, 73)","(70, 73)","(10, 73)",C-fairdivision,DRAC
189,"(0, 67)","(0, 67)","(0, 67)",J-splitstream,DRAC
190,"(28, 46)","(28, 46)","(28, 46)",K-meme,DRAC
191,"(0, 146)","(0, 146)","(0, 146)",L-whereami,DRAC
192,"(0, 29)","(0, 29)","(0, 29)",A-cross,HDMS
193,"(0, 73)","(0, 73)","(0, 73)",C-fairdivision,HDMS
194,"(0, 21)","(0, 21)","(0, 21)",F-islands,HDMS
195,"(0, 79)","(15, 79)","(17, 79)",H-prehistoricprograms,HDMS
196,"(0, 67)","(0, 67)","(0, 67)",J-splitstream,HDMS
197,"(0, 46)","(0, 46)","(0, 46)",K-meme,HDMS
198,"(0, 146)","(0, 146)","(0, 146)",L-whereami,HDMS
199,"(0, 29)","(0, 29)","(0, 29)",A-cross,HIMS
200,"(13, 73)","(0, 73)","(0, 73)",C-fairdivision,HIMS
201,"(15, 21)","(15, 21)","(15, 21)",F-islands,HIMS
202,"(27, 79)","(27, 79)","(23, 79)",H-prehistoricprograms,HIMS
203,"(0, 67)","(0, 67)","(67, 67)",J-splitstream,HIMS
204,"(0, 46)","(28, 46)","(28, 46)",K-meme,HIMS
205,"(146, 146)","(0, 146)","(0, 146)",L-whereami,HIMS
